Item Number,Inventory Receive,Total Item Qty
064-09-9115,10/13/2023,3836
064-09-9129,10/13/2023,1740
064-09-9139,10/13/2023,1436
064-09-9411,10/13/2023,708
064-09-0942,10/13/2023,1400
064-09-1062,9/29/2023,1480
064-09-2179,9/29/2023,920
064-09-0250,9/29/2023,1400
064-09-3154,9/29/2023,480
064-09-3413,9/29/2023,944
064-09-3490,9/29/2023,576
064-09-3600,9/29/2023,524
064-09-3654,9/29/2023,2356
064-09-3787,9/29/2023,4180
064-09-3958,9/29/2023,524
064-09-0041,9/29/2023,1824
064-09-0042,9/29/2023,1400
064-09-4261,9/29/2023,1936
064-09-0043,9/29/2023,1584
064-09-4332,9/29/2023,812
064-09-4450,9/29/2023,1824
064-09-4642,9/29/2023,920
064-09-4784,9/29/2023,888
064-09-5086,9/29/2023,544
064-09-5125,9/29/2023,2204
064-09-5282,9/29/2023,1520
064-09-5287,9/29/2023,2772
064-09-5457,9/29/2023,524
064-09-5503,9/29/2023,576
064-09-5559,9/29/2023,1400
064-09-0059,9/29/2023,1856
064-09-0006,9/29/2023,1664
064-09-6094,9/29/2023,2204
064-09-0631,9/29/2023,1848
064-09-6380,9/29/2023,996
064-09-6933,9/29/2023,576
064-09-7633,9/29/2023,1860
064-09-7924,9/29/2023,3268
064-09-8136,9/29/2023,2204
064-09-8249,9/29/2023,1784
064-09-8353,9/29/2023,920
064-09-8707,9/29/2023,1328
064-09-9076,9/29/2023,3420
064-09-9115,9/29/2023,3836
064-09-9129,9/29/2023,1740
064-09-9139,9/29/2023,1436
064-09-9411,9/29/2023,708
064-09-0942,9/29/2023,1400
064-18-0127,9/8/2023,8100
064-18-3155,9/8/2023,5940
064-01-1346,8/16/2023,1000
064-01-1375,8/16/2023,3400
064-01-1386,8/16/2023,2900
064-01-1411,8/16/2023,9000
064-01-1430,8/16/2023,7000
064-01-1431,8/16/2023,4700
064-01-1443,8/16/2023,900
064-01-1445,8/16/2023,5000
064-01-1446,8/16/2023,6000
064-01-1448,8/16/2023,1200
064-15-5777,8/16/2023,9500
064-09-2641,8/18/2023,2000
064-09-6826,8/18/2023,1800
064-11-1026,9/8/2023,3200
064-11-2793,9/8/2023,1000
064-11-2824,9/8/2023,2900
064-11-0005,9/8/2023,2400
064-11-5125,9/8/2023,3400
064-11-0594,9/8/2023,3000
064-11-0082,9/8/2023,3400
064-11-0996,9/8/2023,1000
064-11-1026,8/4/2023,904
064-11-0151,8/4/2023,776
064-11-2793,8/4/2023,1872
064-11-2824,8/4/2023,568
064-11-4530,8/4/2023,1036
064-11-0005,8/4/2023,1132
064-11-5125,8/4/2023,1680
064-11-0594,8/4/2023,1028
064-11-0082,8/4/2023,1928
064-11-0996,8/4/2023,1408
064-18-2305,7/28/2023,726
064-18-2320,7/28/2023,2676
064-18-2358,7/28/2023,3804
064-18-0267,7/28/2023,942
064-18-2852,7/28/2023,1740
064-18-2853,7/28/2023,822
064-18-2854,7/28/2023,4776
064-18-3665,7/28/2023,1296
064-18-3712,7/28/2023,4860
064-18-3723,7/28/2023,996
064-18-3729,7/28/2023,348
064-18-0493,7/28/2023,1940
064-18-0494,7/28/2023,3204
064-18-5659,7/28/2023,3064
064-18-5660,7/28/2023,3060
064-18-6538,7/28/2023,3192
064-18-6539,7/28/2023,4782
064-18-6577,7/28/2023,2604
064-18-6578,7/28/2023,3546
064-18-8362,7/28/2023,1468
064-18-9089,7/28/2023,1760
064-18-9182,7/28/2023,9336
064-18-9724,7/28/2023,2420
064-18-9938,7/28/2023,3196
064-18-0309,11/26/2023,12424
064-18-4752,11/26/2023,12424
064-09-1062,9/8/2023,1480
064-09-2179,9/8/2023,1224
064-09-0250,9/8/2023,1400
064-09-3154,9/8/2023,480
064-09-3413,9/8/2023,1260
064-09-3490,9/8/2023,768
064-09-3600,9/8/2023,1048
064-09-3654,9/8/2023,2356
064-09-3787,9/8/2023,4180
064-09-3958,9/8/2023,1048
064-09-0041,9/8/2023,1824
064-09-0042,9/8/2023,1400
064-09-4261,9/8/2023,1936
064-09-0043,9/8/2023,1584
064-09-4332,9/8/2023,1084
064-09-4450,9/8/2023,1824
064-09-4642,9/8/2023,1224
064-09-4784,9/8/2023,1184
064-09-5086,9/8/2023,1084
064-09-5125,9/8/2023,2204
064-09-5282,9/8/2023,1520
064-09-5287,9/8/2023,2772
064-09-5457,9/8/2023,1048
064-09-5503,9/8/2023,768
064-09-5559,9/8/2023,1400
064-09-0059,9/8/2023,1856
064-09-0006,9/8/2023,1664
064-09-6094,9/8/2023,2204
064-09-0631,9/8/2023,1848
064-09-6380,9/8/2023,1328
064-09-6933,9/8/2023,768
064-09-7633,9/8/2023,1860
064-09-7924,9/8/2023,3268
064-09-8136,9/8/2023,2204
064-09-8249,9/8/2023,1784
064-09-8353,9/8/2023,1224
064-09-8707,9/8/2023,1328
064-09-9076,9/8/2023,3420
064-09-9115,9/8/2023,3836
064-09-9129,9/8/2023,1740
064-09-9139,9/8/2023,1436
064-09-9411,9/8/2023,944
064-09-0942,9/8/2023,1400
064-15-5738,8/16/2023,9108
064-15-5777,8/16/2023,8644
064-15-6305,8/16/2023,12220
064-15-7068,8/16/2023,12660
064-15-7174,8/16/2023,9500
064-13-0345,7/9/2023,768
064-13-0346,7/9/2023,0
064-13-0358,7/9/2023,1636
064-13-0359,7/9/2023,904
064-13-0438,7/9/2023,1584
064-13-0439,7/9/2023,980
064-09-2641,10/13/2023,3924
064-09-0054,10/13/2023,3004
064-09-6826,10/13/2023,5080
064-09-0733,10/13/2023,2772
064-18-3496,9/15/2023,9940
064-18-4295,9/15/2023,5148
064-11-1026,7/10/2023,1084
064-11-0151,7/10/2023,932
064-11-2793,7/10/2023,2248
064-11-2824,7/10/2023,680
064-11-4530,7/10/2023,1244
064-11-0005,7/10/2023,1360
064-11-5125,7/10/2023,2016
064-11-0594,7/10/2023,1236
064-11-0082,7/10/2023,2312
064-11-0996,7/10/2023,1688
064-09-2641,9/29/2023,3928
064-09-0054,9/29/2023,3004
064-09-6826,9/29/2023,5080
064-09-0733,9/29/2023,2772
064-18-2305,7/7/2023,1134
064-18-2358,7/7/2023,1620
064-18-0267,7/7/2023,1302
064-18-2854,7/7/2023,1404
064-18-3729,7/7/2023,2754
064-18-0493,7/7/2023,1600
064-18-0494,7/7/2023,1600
064-18-6538,7/7/2023,888
064-18-6539,7/7/2023,834
064-18-9089,7/7/2023,1600
064-18-9724,7/7/2023,1600
064-11-1026,10/13/2023,900
064-11-2793,10/13/2023,1200
064-11-2824,10/13/2023,1400
064-11-4530,10/13/2023,1200
064-11-0005,10/13/2023,1000
064-11-0082,10/13/2023,1800
064-18-4153,9/22/2023,4500
064-09-3654,7/7/2023,1176
064-09-3787,7/7/2023,2088
064-09-5287,7/7/2023,1388
064-09-7924,7/7/2023,1632
064-09-9076,7/7/2023,1708
064-09-9115,7/7/2023,1920
